Model, 128, 256, 512, 1024, 2046, 4096
qwen2 32B Q8_0,1968.61,3264.10,4604.70,4615.04,4615.00,4610.16
qwen2 32B Q6_K,1145.83,2042.20,3207.89,3208.04,3207.45,3210.03
qwen2 32B Q5_K - Small,1144.95,2048.55,3242.08,3240.29,3242.41,3240.02
qwen2 32B Q5_0,1440.71,2508.22,3792.20,3783.56,3787.48,3786.54
qwen2 32B Q5_K - Medium,1145.92,2049.72,3243.56,3243.90,3243.10,3243.49
qwen2 32B IQ4_XS - 4.25 bpw,1144.43,2043.50,3227.57,3229.74,3231.04,3229.46
qwen2 32B Q4_K - Small,1152.40,2058.16,3256.74,3255.62,3254.76,3258.25
qwen2 32B IQ4_NL - 4.5 bpw,1149.34,2050.96,3241.87,3244.48,3241.86,3243.00
qwen2 32B Q4_0,1151.97,2057.24,3261.35,3261.10,3260.07,3261.84
qwen2 32B Q4_K - Medium,1147.55,2046.76,3244.48,3243.95,3243.15,3245.56
